진로목표,단계,구체적준비내용,예상기간,필수자격증
체육교사,1단계 (대학입학전),체육 운동능력 향상 - 내신 관리,2~3년,중등 정교사 2급(체육)
체육교사,2단계 (대학재학중),교직이수 - 체육교과 심화학습 - 교과논문작성,4년 (대학과정),교직이수증
체육교사,3단계 (졸업후),임용고시 응시(1~2년 준비) - 교육청 임용고시 접수,1~2년,중등 정교사 2급(체육) - 임용고시 합격
스포츠지도사,1단계 (대학재학중),필기시험 과목 선택 - 종목 선택 (54개 종목),1년,해당 종목 선택
스포츠지도사,2단계 (졸업후),스포츠지도사 학원 등록 - 필기(7과목중5선택) - 실기·구술 - 연수(90시간),3~6개월,2급 생활/전문 스포츠지도사
운동처방사,1단계 (대학재학중),해부학·생리학·영양학 등 이론 학습 - 운동프로그램 기획 학습,3~4년,이론 기초 완성
운동처방사,2단계 (졸업후),건강운동관리사 또는 운동처방사 자격증 취득 - 현장 실습경험,3~6개월,건강운동관리사(국가) 또는 운동처방사(민간)
경찰공무원,1단계 (준비기간),필기시험 과목 공부(형법·형소법·영어·한국사·경찰학) - 한국사능력검정,준비기간 3~6개월,한국사능력검정 3급 이상
경찰공무원,2단계 (준비기간),체력훈련(6개월~1년) - 필기시험 준비 - 면접 연습,준비기간 6개월~1년,필기합격증 + 체력시험 합격증
경찰공무원,3단계 (합격후),경찰청 입영 후 신체검사 - 기본 경찰훈련 이수,훈련기간 3개월~1년,경찰공무원 2급 이상 신분
소방공무원,1단계 (준비기간),체력훈련(3~6개월) - 필기시험 준비 - 소방 체력시험 대비,준비기간 3~6개월,필기합격증 + 체력시험 합격증
군 부사관,1단계 (준비기간),체력훈련(6~12개월) - 국민체력100 인증(1~3급) 취득 - 임용고시 준비,준비기간 6개월~1년,국민체력100 인증 1~3급 - 부사관 임용시험 합격
경호원,1단계 (자격증과정),신변보호사 자격증 과정 수료 - 무도 기초실력 양성(권장),3~6개월,신변보호사 자격증
경호원,2단계 (취업준비),경호업체 입사 또는 프리랜서 활동 - 경비지도사 추가자격증(선택),1~3년,경호업체 근무경력
선수트레이너,1단계 (대학재학중),운동처방사 자격증 - 선수트레이너 기초교육 - 팀 인턴십 신청,3~4년,운동처방사 자격증
선수트레이너,2단계 (졸업후),프로팀/국가대표팀 트레이너 공개채용 지원 또는 계약직 활동,1~3년,선수트레이너 자격증
