학과,진로,필요자격증,주요 취업처,초봉/연봉,준비전략
체육교육과,중등학교 체육교사,중등 정교사 2급(체육),국공립/사립 중·고등학교,"3,000만원대",교직이수 + 임용고시 준비(경쟁률 높음)
체육교육과,교육대학원(대학원),중등 정교사 2급(체육) 또는 교육대학원 졸업,"대학교, 연구소",대학별 상이,대학원 진학 + 교직 이수 + 임용고시
체육교육과,체육청소년지도사,생활스포츠지도사 2급 이상,"체육시설, 스포츠센터, 지역 체육회","최저임금~3,500만원",스포츠지도사 자격증 취득 후 지도자활동
체육교육과,부사관/군장교,국민체력100 인증 + 부사관 임용시험,"군부대, 부사관학군단 경로","2,400만원(부사관)",체력훈련 + 국민체력100 인증 + 임용고시
체육학과/생활체육학과,스포츠지도사(생활),2급 생활스포츠지도사,"체육시설, 헬스장, 스포츠센터","최저임금~3,500만원",자격증 취득 + 지도자 경력 쌓기
체육학과/생활체육학과,스포츠지도사(전문),2급 전문스포츠지도사,"프로/실업팀, 국가대표팀","최저임금~3,500만원",자격증 취득 + 선수 지도 경력
체육학과/생활체육학과,운동처방사,건강운동관리사(국가) 또는 운동처방사(민간),"병원, 재활센터, 피트니스센터, 보건소","최저임금~3,500만원",관련 이론 공부 + 실무 경험 + 자격증
체육학과/생활체육학과,스포츠센터 트레이너,2급 생활스포츠지도사 (운동관리 관련),"공공 스포츠센터, 커뮤니티센터","2,500~3,500만원",자격증 + 스포츠센터 아르바이트 경험
체육학과/생활체육학과,헬스장 PT 트레이너,생활스포츠지도사 2급(보디빌딩) 또는 민간PT자격증,"프로/인디 헬스장, PT스튜디오","최저임금~3,500만원",자격증 + PT 이론 교육 + 현장 경험
체육학과/생활체육학과,선수 트레이너,운동처방사 관련 자격증 + 스포츠지도사,"프로/실업팀, 국가대표팀, 스포츠 의료원","3,000~4,000만원",자격증 + 팀닥터/의료진과 협력
체육학과/생활체육학과,체력조련사,국민체력100 인증 또는 생활스포츠지도사,"군부대, 경찰청, 소방청","2,300~2,400만원",자격증 + 체력측정 경험 + 지도자활동
무도학과/태권도학과,경찰공무원(무도특채),체육전공 + 무도경력 3년 + 경찰청장기대회 입상,경찰청 경비국/경호과,"일반순경 대우(2,300만원)",무도 경력 3년 이상 + 전국대회 입상 + 경찰청장기 참가
무도학과/태권도학과,태권도 도장 운영자,태권도 단증(3단 이상 권장),태권도 도장(사범),"최저임금~3,000만원",태권도 3단 이상 취득 + 도장운영 경험
무도학과/태권도학과,태권도 사범,태권도 사범 자격증,태권도 도장,"최저임금~3,000만원",태권도 2단 이상 + 사범 교육이수
무도학과/태권도학과,태권도 선수/지도자,태권도 선수 경력 + 지도자 과정,"태권도 팀, 도장, 체육관",스폰서/수입 변동 큼,초등학부터 선수활동 + 지도자 과정
경호보안학과,경호원(민간),"신변보호사 자격증(민간) 권장, 무도 단증","민간경호업체, 보안회사, 행사 안전팀","2,000~3,000만원",신변보호사 자격 + 체력훈련 + 무도
경호보안학과,경호보안 전문가,"경비지도사 자격증, 특수경호사 자격증","보안회사, 경호업체, 컨설팅업체","2,500~3,500만원",경비지도사 + 특수경호사 자격 취득
경호보안학과,대통령경호처 경호공무원,영어 공인성적(토익 700점 이상) + 신체검사 합격,대통령경호처,"4,500~5,500만원",공인영어성적 700점이상 + 신체검사 준비
경호보안학과,경찰청 경호과 공무원,경찰공무원 시험 합격 + 체력시험,"경찰청 경호과, 지자체 경비과","2,500~3,500만원",경찰공무원시험 준비 + 체력훈련
스포츠과학과,운동처방사,건강운동관리사(국가) + 운동처방사,"병원, 재활센터, 연구원","최저임금~3,500만원",이론공부 + 운동처방 실습 경험
스포츠과학과,스포츠의학 연구원,석사이상 + 스포츠의학 관련 전문교육,"대학교, 연구소, 스포츠의료원","박사급 연구원(5,000만원 이상)",대학원 진학 + 연구프로젝트 참여
스포츠과학과,재활운동 전문가,생활스포츠지도사 + 운동처방사,"병원, 재활센터, 요양시설","2,500~3,500만원",운동처방사 자격 + 재활운동 실무교육
스포츠산업학과,스포츠마케팅 전문가,마케팅 관련 자격증 또는 경험,"스포츠마케팅 대행사, 프로구단","3,000~4,000만원",학사학위 + 마케팅 인턴십 경험
스포츠산업학과,스포츠에이전트,스포츠에이전트 협회 등록,"에이전시, 스포츠기획사","3,000~3,500만원",에이전트협회 등록 + 업계 인맥 구축
스포츠산업학과,프로구단 운영직,관련 학위 및 경영관리 경험,"프로/실업팀, 스포츠협회","3,500~5,000만원",관련학위 + 스포츠산업 경영 경험
